Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,litter_type_quality_tree_1,litter_type_quality_tree_2,quality_N,mesh_size,total_mass_g,sample_plot,plot,harvest,handling_loss_bags,handling_loss,initial_mass_g,Time_at_harvest,final_mass_g
A1,A1FTH1,High,Ml,High,zero,tree,1,1,10.003,NA,NA,5 mm,10.003,R1,plot1,harvest1,NA,0.013,10.003,30,9.178
A1,A1FTH1,High,Ml,High,zero,tree,1,2,10.004,NA,NA,5 mm,10.004,R2,plot1,harvest2,NA,0.013,10.004,60,8.427
A1,A1FTH1,High,Ml,High,zero,tree,1,3,10.004,NA,NA,5 mm,10.004,R3,plot1,harvest3,NA,0.013,10.004,220,14.35
A1,A1FTH1,High,Ml,High,zero,tree,1,4,9.99,NA,NA,5 mm,9.99,R4,plot1,harvest4,NA,0.013,9.99,365,5.156
A1,A1FTH1,High,Ml,High,zero,tree,1,5,9.999,NA,NA,5 mm,9.999,R5,plot2,harvest1,NA,0.013,9.999,30,9.328
A1,A1FTH1,High,Ml,High,zero,tree,1,6,10.004,NA,NA,5 mm,10.004,R6,plot2,harvest2,NA,0.013,10.004,60,6.874
A1,A1FTH1,High,Ml,High,zero,tree,1,7,9.999,NA,NA,5 mm,9.999,R7,plot2,harvest3,NA,0.013,9.999,220,7.74
A1,A1FTH1,High,Ml,High,zero,tree,1,8,10.004,NA,NA,5 mm,10.004,R8,plot2,harvest4,NA,0.013,10.004,365,2.709
A1,A1FTH1,High,Ml,High,zero,tree,1,9,10,NA,NA,5 mm,10,R9,plot3,harvest1,NA,0.013,10,30,8.891
A1,A1FTH1,High,Ml,High,zero,tree,1,10,10.006,NA,NA,5 mm,10.006,R10,plot3,harvest2,NA,0.013,10.006,60,8.073
A1,A1FTH1,High,Ml,High,zero,tree,1,11,10.009,NA,NA,5 mm,10.009,R11,plot3,harvest3,NA,0.013,10.009,220,7.72
A1,A1FTH1,High,Ml,High,zero,tree,1,12,10,NA,NA,5 mm,10,R12,plot3,harvest4,NA,0.013,10,365,3.779
A1,A1FTH1,High,Ml,High,zero,tree,1,13,10,NA,NA,5 mm,10,,,,10.01,0.013,10,,NA
A1,A1FTH1,High,Ml,High,zero,tree,1,14,10.008,NA,NA,5 mm,10.008,,,,10.02,0.013,10.008,,NA
A1,A1FTH1,High,Ml,High,zero,tree,1,15,9.993,NA,NA,5 mm,9.993,,,,10.01,0.013,9.993,,NA
A1,A1FTH1,High,Ml,High,zero,tree,1,1,10,NA,NA,2 mm,10,R1,plot1,harvest1,NA,-0.076,9.924,30,10.74
A1,A1FTH1,High,Ml,High,zero,tree,1,2,9.995,NA,NA,2 mm,9.995,R2,plot1,harvest2,NA,-0.076,9.919,60,8.627
A1,A1FTH1,High,Ml,High,zero,tree,1,3,9.993,NA,NA,2 mm,9.993,R3,plot1,harvest3,NA,-0.076,9.917,220,8.27
