Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,mesh_size,Time_at_harvest,final_mass_g,k,in_mass,C_initial,N_initial,Ca_initial  ,K_initial,Mg_initial,Mn_initial,P_initial,Tannin_initial,C/N,C,N,Ca,K,Mg,Mn,P,Tannin
A2,A2FT(H),High,"Ml,At",High_N0,N_0,tree mixture,2,1,5 mm,0,10.009,0,10.009,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205,18.31555965,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205
A2,A2FT(H),High,"Ml,At",High_N0,N_0,tree mixture,2,2,5 mm,0,10.009,0,10.009,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205,18.31555965,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205
A2,A2FT(H),High,"Ml,At",High_N0,N_0,tree mixture,2,1,2 mm,0,9.552,0,9.552,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205,18.31555965,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205
A2,A2FT(H),High,"Ml,At",High_N0,N_0,tree mixture,2,2,2 mm,0,9.552,0,9.552,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205,18.31555965,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205
A2,A2FT(H),High,"Ml,At",High_N0,N_0,tree mixture,2,1,0.07 mm,0,10.051,0,10.051,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205,18.31555965,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205
A2,A2FT(H),High,"Ml,At",High_N0,N_0,tree mixture,2,2,0.07 mm,0,10.051,0,10.051,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205,18.31555965,382,20.895,18.705,2.71,3.89,1.04,0.965,0.6205
A2,A2HL   ,High,"Ml,At",High_N2,N_2,tree mixture,2,1,5 mm,0,7.726,0,7.726,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245,3.528353599,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245
A2,A2HL   ,High,"Ml,At",High_N2,N_2,tree mixture,2,2,5 mm,0,7.726,0,7.726,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245,3.528353599,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245
A2,A2HL   ,High,"Ml,At",High_N2,N_2,tree mixture,2,1,2 mm,0,7.808,0,7.808,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245,3.528353599,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245
A2,A2HL   ,High,"Ml,At",High_N2,N_2,tree mixture,2,2,2 mm,0,7.808,0,7.808,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245,3.528353599,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245
A2,A2HL   ,High,"Ml,At",High_N2,N_2,tree mixture,2,1,0.07 mm,0,7.662,0,7.662,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245,3.528353599,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245
A2,A2HL   ,High,"Ml,At",High_N2,N_2,tree mixture,2,2,0.07 mm,0,7.662,0,7.662,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245,3.528353599,391.5,110.705,13.98,5.57,2.185,0.345,0.975,0.245
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,1,5 mm,0,7.14,0,7.14,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,2,5 mm,0,7.14,0,7.14,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,1,2 mm,0,6.924,0,6.924,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,2,2 mm,0,6.924,0,6.924,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,1,0.07 mm,0,7.136,0,7.136,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025
A2,A2HH,High,"Ml,At",High_N6,N_6,tree mixture,2,2,0.07 mm,0,7.136,0,7.136,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025,1.423735003,365.5,257.02,6.33,1.835,1.465,0.376,0.52,0.025
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,1,5 mm,0,9.976,0,9.976,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,2,5 mm,0,9.976,0,9.976,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,1,2 mm,0,10.001,0,10.001,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,2,2 mm,0,10.001,0,10.001,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,1,0.07 mm,0,10.006,0,10.006,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785
A2,A2FT(M),Medium,"Dt,Pt",Medium_N0,N_0,tree mixture,2,2,0.07 mm,0,10.006,0,10.006,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785,29.09722222,427.5,14.7,17.85,1.505,2.925,1.314,0.655,0.7785
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,1,5 mm,0,7.525,0,7.525,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,2,5 mm,0,7.525,0,7.525,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,1,2 mm,0,7.74,0,7.74,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,2,2 mm,0,7.74,0,7.74,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,1,0.07 mm,0,7.729,0,7.729,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135
A2,A2ML,Medium,"Dt,Pt",Medium_N2,N_2,tree mixture,2,2,0.07 mm,0,7.729,0,7.729,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135,3.923549604,417,106.31,12.23,1.7,2.46,0.8925,0.575,0.135
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,1,5 mm,0,7.257,0,7.257,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,2,5 mm,0,7.257,0,7.257,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,1,2 mm,0,7.242,0,7.242,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,2,2 mm,0,7.242,0,7.242,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,1,0.07 mm,0,7.196,0,7.196,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01
A2,A2MH,Medium,"Dt,Pt",Medium_N6,N_6,tree mixture,2,2,0.07 mm,0,7.196,0,7.196,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01,1.476253861,372,246.995,5.38,0.855,1.125,0.469,0.29,0.01
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,1,5 mm,0,10,0,10,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,2,5 mm,0,10,0,10,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,1,2 mm,0,9.603,0,9.603,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,2,2 mm,0,9.603,0,9.603,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,1,0.07 mm,0,10,0,10,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965
A2,A2FT(L),Low,"Cb,Ga",Low_N0,N_0,tree mixture,2,2,0.07 mm,0,10,0,10,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965,38.92868748,438,11.25,27.315,6.515,3.265,0.3405,1.435,1.0965
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,1,5 mm,0,7.671,0,7.671,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,2,5 mm,0,7.671,0,7.671,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,1,2 mm,0,7.778,0,7.778,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,2,2 mm,0,7.778,0,7.778,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2
A2,A2LL,Low,"Cb,Ga",Low_N2,N_2,tree mixture,2,1,0.07 mm,0,7.714,0,7.714,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2,3.739460063,386.5,103.555,12.715,2.83,2.935,0.8785,0.81,0.2
