Label,species,Quality,number,T.C,T.N,T.Ca     ,T.K,T.Mg,T.Mn,T.P,NDF,ADF,Lignin,CF,Tannins
FTGS1,Ml,High,C2024-3089,401.693,27.3335,23.4733,5.2196,5.0638,709.73597,1.5678,62.7229,52.6655,19.6591,46.2657,-0.007
FTGS2,Ml,High,C2024-3090,404.3755,29.1245,12.3606,5.5959,2.3291,1226.70398,1.1677,62.3209,48.6764,19.1879,42.2324,0.0918
FTGS3,Ml,High,C2024-3091,407.6955,30.964,12.2077,5.4316,2.4962,1230.92236,1.318,61.0268,48.6916,19.3168,43.5851,0.0894
FTGJ1,At,High,C2024-3092,281.8945,17.6835,16.0629,4.4466,3.6762,1043.7788,1.0265,61.934,51.3447,23.7493,35.5447,0.0411
FTGJ2,At,High,C2024-3093,319.893,19.6313,19.005,5.5701,3.8005,1021.91963,1.0696,62.2762,51.3032,23.0004,36.628,-0.0506
FTGJ3,At,High,C2024-3094,343.869,19.222,18.4674,5.8822,3.6898,937.60156,1.0251,61.6945,51.4021,24.1647,34.2911,0.0119
FTZJ1,Dt,Medium,C2024-3095,419.9905,11.864,14.3975,0.7595,2.7013,2832.23031,0.4227,59.1044,59.253,28.4724,35.3286,0.2135
FTZJ2,Dt,Medium,C2024-3096,421.6123,11.947,14.5455,0.8021,2.7662,2713.5778,0.4271,60.0118,59.6275,30.4296,33.4563,0.4383
FTZJ3,Dt,Medium,C2024-3097,418.5025,11.905,14.1267,0.7179,2.6463,2824.41253,0.4142,62.8966,61.665,32.5714,35.9484,0.5285
FTZR1,Pt,Medium,C2024-3098-1,387.7225,15.2185,18.5791,1.83305,2.674,212.79411,0.857,60.399,55.3921,28.7577,39.258,0.9079
FTZR2,Pt,Medium,C2024-3099,427.605,15.306,16.3449,1.7656,2.8013,191.10892,0.7431,59.2264,55.4865,29.1889,39.7885,1.0942
FTZR3,Pt,Medium,C2024-3100,375.832,15.7655,22.7873,1.7872,2.7478,245.98492,0.9868,60.193,54.156,29.092,39.3449,0.8223
FTDD1,Cb,Low,2024-3101-1,479.2995,10.5415,17.0526,11.3672,1.4579,683.92505,1.0721,69.49825,62.8158,25.0667,49.6718,0.6687
FTDD2,Cb,Low,C2024-3102,462.5605,10.099,15.551,12.1839,1.4827,693.78944,1.0733,70.0239,63.1668,25.3981,50.2944,0.1475
FTDD3,Cb,Low,C2024-3103,465.754,10.4565,15.6025,12.3381,1.4807,689.22925,1.0733,69.4478,61.0747,24.7318,52.4274,0.5125
FTDY1,Ga,Low,C2024-3104,456.1665,13.123,26.2473,6.7322,3.5481,265.16634,2.3059,42.9276,34.4151,12.7441,23.1006,0.883
FTDY2,Ga,Low,C2024-3105,425.79,12.3875,27.1599,6.4774,3.5538,377.20173,2.366,43.0448,35.7114,13.393,26.6706,1.0177
FTDY3,Ga,Low,C2024-3106,420.316,12.474,27.5651,6.6449,3.5778,383.81331,2.3639,43.9753,35.2022,13.2045,26.2452,1.0217
